TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
GCST001762_47	Obesity-related traits	EFO_0005190	
GCST001762_48	Obesity-related traits	EFO_0005191	
GCST001762_49	Obesity-related traits	EFO_0006335	
GCST001762_5	Obesity-related traits	EFO_0004340	D015992
GCST001762_50	Obesity-related traits	EFO_0006336	
GCST001762_51	Obesity-related traits	OBA_1000032	
GCST001762_52	Obesity-related traits	OBA_1000110	
GCST001762_53	Obesity-related traits	OBA_1000978	
GCST001762_54	Obesity-related traits	OBA_1000983	
GCST001762_55	Obesity-related traits	OBA_1001013	
GCST001762_56	Obesity-related traits	OBA_1001085	
GCST001762_57	Obesity-related traits	OBA_1001087	
GCST001762_58	Obesity-related traits	OBA_2040170	
GCST001762_59	Obesity-related traits	OBA_2045286	
GCST001762_6	Obesity-related traits	EFO_0004344	D001724
GCST001762_7	Obesity-related traits	EFO_0004458	
GCST001762_8	Obesity-related traits	EFO_0004471	
GCST001762_9	Obesity-related traits	EFO_0004501	
GCST001794	Colorectal cancer (SNP x SNP interaction)	MONDO_0005575	
GCST001802	Depression (quantitative trait)	MONDO_0002009	D003865
GCST001811	Bipolar disorder (mania)	MONDO_0004985	D001714
GCST001816	Breast cancer (prognosis)	EFO_0000305	
GCST001833	Schizophrenia (cytomegalovirus infection interaction)	EFO_0001062;MONDO_0005090	D003586
GCST001835	Response to cholinesterase inhibitors in Alzheimer's disease	EFO_0005195	
GCST001836	Schizophrenia (negative symptoms)	MONDO_0005090	
GCST001843	Type 2 diabetes (dietary heme iron intake interaction)	EFO_0008355;MONDO_0005148	D003924
GCST001867	Chronic hepatitis C infection	EFO_0004220	D019698
GCST001868	Alzheimer's disease biomarkers	MONDO_0004975	D000544
GCST001869	Breast cancer (menopausal hormone therapy interaction)	EFO_0000305;EFO_0003961	D020249
GCST001881	Myopia (pathological)	EFO_0004207	
GCST001891	Multiple sclerosis (OCB status)	MONDO_0005301	D009103
GCST001892	Multiple sclerosis (OCB status)	EFO_0005206;MONDO_0005301	D009103
GCST001906	Multiple myeloma (IgH translocation)	EFO_0001378	D009101
GCST001907	Multiple myeloma (hyperdiploidy)	EFO_0001378	D009101
GCST001911	Asthma (bronchodilator response)	GO_0097366	
GCST001915	Alzheimer's disease (cognitive decline)	MONDO_0004975	D000544
GCST001916	Breast Cancer in BRCA1 mutation carriers	EFO_0000305	
