TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
Phe_303_4	Somatoform disorder	EFO_0009687	D013001
Phe_304	Adjustment reaction	MONDO_0003265	D000275
Phe_305_2	Eating disorder	EFO_0005203	
Phe_306	Other mental disorder	MONDO_0002025	D001523
Phe_306_9	Tension headache	HP_0012228	D018781
Phe_312	Conduct disorders	EFO_0004216	D019955
Phe_312_3	Impulse control disorder	MONDO_0001162	
Phe_313	Pervasive developmental disorders	EFO_0003852	D002658
Phe_313_1	Attention deficit hyperactivity disorder	EFO_0003888	D001289
Phe_313_2	Tics and stuttering	HP_0025268;HP_0100033	
Phe_315	Develomental delays and disorders	MONDO_0000592	
Phe_316	Substance addiction and disorders	EFO_0005611	D009293
Phe_316	Substance addiction and disorders	MONDO_0002494	D019966
Phe_317	Alcohol-related disorders	MONDO_0007079	D019973
Phe_317	Alcohol-related disorders	MONDO_0021698	D019973
Phe_317_1	Alcoholism	HP_0030955	
Phe_317_1	Alcoholism	MONDO_0007079	D019973
Phe_317_11	Alcoholic liver damage	EFO_0008573	D008108
Phe_318	Tobacco use disorder	EFO_0003768	D014029
Phe_320	Meningitis	EFO_0000584	D008581
Phe_320	Meningitis	EFO_1001236	D008587
Phe_320	Meningitis	MONDO_0021108	D008581
Phe_324	Other CNS infection and poliomyelitis	EFO_1001456	D002494
Phe_327	Sleep disorders	EFO_0003877	D012891
Phe_327	Sleep disorders	EFO_0008568	
Phe_327_1	Hypersomnia	EFO_0005246	
Phe_327_3	Sleep apnea	EFO_0003877	D012891
Phe_327_31	Central/nonobstroctive sleep apnea	EFO_0003877	D012891
Phe_327_32	Obstructive sleep apnea	EFO_0003918	D020181
Phe_327_4	Insomnia	EFO_0004698	D007319
Phe_327_4	Insomnia	EFO_0007876	
Phe_327_41	Organic or persistent insomnia	EFO_0004698	D007319
Phe_327_5	Parasomnia	HP_0025234	
Phe_327_6	Circadian rhythm sleep disorder	MONDO_0024361	D020178
Phe_327_7	Sleep related movement disorders	EFO_0004280	D009069
Phe_327_71	Restless legs syndrome	EFO_0004270	D012148
Phe_327_72	Sleep related leg cramps	EFO_0009846	
Phe_331	Other cerebral degenerations	HP_0007313	
Phe_331_1	Hydrocephalus	HP_0000238	D006849
Phe_332	Parkinson's disease	MONDO_0005180	D010300
Phe_333	Extrapyramidal disease and abnormal movement disorders	MONDO_0001815	
Phe_333_1	Essential tremor	EFO_0003108	D020329
Phe_333_2	Myoclonus	HP_0001336	
Phe_333_4	Torsion dystonia	HP_0001304	D004422
Phe_333_4	Torsion dystonia	MONDO_0000476	D004422
Phe_334	Degenerative disease of the spinal cord	EFO_0009488	D013118
Phe_335	Multiple sclerosis	MONDO_0005301	D009103
Phe_337	Disorders of the autonomic nervous system	EFO_0009532	D001342
Phe_337_1	Peripheral autonomic neuropathy	EFO_0003100	
Phe_338	Pain	EFO_0003843	D010146
Phe_338_1	Acute pain	EFO_0003843	D010146
Phe_338_2	Chronic pain	HP_0012532	D059350
Phe_339	Other headache syndromes	EFO_0009550	D020773
Phe_340	Migraine	MONDO_0005277	D008881
Phe_340_1	Migrain with aura	MONDO_0005475	D020325
Phe_342	Hemiplegia	EFO_0009453	D006429
Phe_342	Hemiplegia	EFO_0009453;HP_0001269	D006429
Phe_344	Other paralytic syndromes	EFO_0009679;EFO_0009684	D010264;D011782
Phe_344	Other paralytic syndromes	HP_0003470	D010243
Phe_345	Epilepsy, recurrent seizures, convulsions	EFO_0000474	D004827
Phe_345	Epilepsy, recurrent seizures, convulsions	HP_0000707	D009421
Phe_345_1	Epilepsy	EFO_0000474	D004827
Phe_345_1	Epilepsy	EFO_0004263	D004828
Phe_345_1	Epilepsy	EFO_0005917	C562694
Phe_345_11	Generalized convulsive epilepsy	EFO_0000474	D004827
Phe_345_11	Generalized convulsive epilepsy	EFO_0005917	C562694
Phe_345_12	Partial epilepsy	EFO_0004263	D004828
Phe_345_3	Convulsions	EFO_0000474	D004827
Phe_345_3	Convulsions	HP_0001250	D012640
Phe_347	Cataplexy and narcolepsy	MONDO_0021107	D009290
Phe_348	Other conditions of brain	EFO_0005774	D001927
Phe_348_2	Cerebral edema and compression of brain	EFO_0009373;MONDO_0001291	
Phe_348_8	Encephalopathy, not elsewhere classified	HP_0001298	
Phe_348_9	Other conditions of brain, NOS	EFO_0005774	D001927
Phe_349	Other and unspecified disorders of the nervous system	EFO_0000618	D009422
Phe_349	Other and unspecified disorders of the nervous system	EFO_1001175	D010302
Phe_350	Abnormal movement	HP_0100022	D009069
Phe_350_1	Abnormal involuntary movements	HP_0100022	D009069
Phe_350_2	Abnormality of gait	HP_0001288	
Phe_350_3	Lack of coordination	HP_0001310	
Phe_350_3	Lack of coordination	HP_0001332	
Phe_350_6	Disturbances of sensation of smell and taste	EFO_0009543	
Phe_351	Other peripheral nerve disorders	EFO_0004143	D002349
Phe_351	Other peripheral nerve disorders	EFO_0009387	D010523
Phe_352	Disorders of other cranial nerves	EFO_0000618	D009422
Phe_352_1	Trigeminal nerve disorders [CN5]	EFO_0009569	D020433
Phe_352_2	Facial nerve disorders [CN7]	EFO_1002051	D005155
Phe_353	Nerve root and plexus disorders	EFO_0009559	
Phe_353_1	Nerve plexus lesions	EFO_0009559	
Phe_353_2	Nerve root lesions	EFO_0000618	D009422
Phe_355	Complex regional/central pain syndrome	EFO_1001998	D020918
Phe_356	Hereditary and idiopathic peripheral neuropathy	EFO_0003100	
Phe_357	Inflammatory and toxic neuropathy	EFO_0004149	
Phe_357	Inflammatory and toxic neuropathy	EFO_0009538	
Phe_359	Muscular dystrophies and other myopathies	EFO_0004145	
Phe_359_2	Myopathy	EFO_0000783	D009220
Phe_359_2	Myopathy	EFO_0004145	
Phe_360	Disorders of the globe	EFO_0003966	D005128
Phe_360_2	Progressive myopia	EFO_0004207	
Phe_360_3	Hypotony of eye	MONDO_0004390	D015814
Phe_361	Retinal detachments and defects	EFO_0003839	D012164
Phe_361	Retinal detachments and defects	EFO_0005773	D012163
Phe_361_1	Retinal detachment with retinal defect	EFO_0003839	D012164
Phe_361_1	Retinal detachment with retinal defect	EFO_0005773	D012163
Phe_361_2	Retinoschisis and retinal cysts	EFO_0003839;MONDO_0004579	D012164;D041441
Phe_362	Other retinal disorders	EFO_0003839	D012164
Phe_362_2	Degeneration of macula and posterior pole of retina	MONDO_0002175	
Phe_362_21	Macular degeneration, dry	EFO_0009606	D008268
Phe_362_22	Macular degeneration, wet	EFO_0009606	D008268
Phe_362_23	Cystoid macular degeneration of retina	EFO_0003839	D012164
Phe_362_26	Macular puckering of retina	EFO_0003839	D012164
Phe_362_27	Drusen (degenerative) of retina	EFO_0003839	D012164
Phe_362_29	Macular degeneration (senile) of retina NOS	EFO_0001365	D008268
Phe_362_3	Other nondiabetic retinopathy	EFO_0003839	D012164
Phe_362_31	Separation of retinal layers	MONDO_0004580	D012162
Phe_362_4	Retinal vascular changes and abnomalities	EFO_1001157	D012170
Phe_362_4	Retinal vascular changes and abnomalities	MONDO_0002311	
Phe_362_6	Peripheral retinal degenerations	MONDO_0004580	D012162
Phe_362_7	Hereditary retinal dystrophies	MONDO_0019118	D058499
Phe_362_8	Retinal hemorrhage/ischemia	HP_0000573	D012166
Phe_362_9	Retinal edema	MONDO_0004037	D010211
Phe_363	Chorioretinal inflammations, scars, and other disorders of choroid	EFO_0003966	D005128
Phe_363_3	Chorioretinal scars	HP_0007777	
Phe_364	Corneal opacity and other disorders of cornea	EFO_0009464	D003316
Phe_364_1	Corneal opacity	HP_0007957	
Phe_364_2	Corneal edema	EFO_1000879	D015715
Phe_364_4	Corneal degenerations	MONDO_0001515	
Phe_364_41	Keratoconus	MONDO_0015486	D007640
Phe_364_5	Corneal dystrophy	EFO_0003966	D005128
Phe_364_5	Corneal dystrophy	MONDO_0018102	D003317
Phe_364_51	Fuchs' dystrophy	MONDO_0005321	D005642
Phe_364_9	Cornea replaced by transplant	EFO_0010676	D016039
Phe_365	Glaucoma	MONDO_0005041	D005901
Phe_365_1	Open-angle glaucoma	EFO_0004190	D005902
Phe_365_11	Primary open angle glaucoma	EFO_0004190	D005902
Phe_365_2	Primary angle-closure glaucoma	EFO_1001506	
Phe_366	Cataract	MONDO_0005129	D002386
Phe_366_1	Nonsenile Cataract	MONDO_0005129	D002386
Phe_366_2	Senile cataract	HP_0011141	
Phe_366_2	Senile cataract	MONDO_0004847	
Phe_366_3	Traumatic cataract	EFO_0009888;MONDO_0005129	D002386
Phe_367	Disorders of refraction and accommodation; blindness and low vision	HP_0000505	
Phe_367_1	Myopia	HP_0000545	D009216
Phe_367_2	Astigmatism	HP_0000483	D001251
Phe_367_4	Presbyopia	MONDO_0001330	D011305
Phe_367_8	Hypermetropia	HP_0000540	D006956
Phe_367_9	Blindness and low vision	HP_0000505	
Phe_368	Visual disturbances	MONDO_0024458	
Phe_368_1	Amblyopia	MONDO_0001020	D000550
Phe_368_2	Diplopia and disorders of binocular vision	EFO_0003966	D005128
Phe_368_2	Diplopia and disorders of binocular vision	MONDO_0021084	D014786
Phe_368_3	Anisometropia	HP_0012803	D015858
Phe_368_4	Visual field defects	HP_0001123	
Phe_368_9	Subjective visual disturbances	EFO_0003966	D005128
Phe_368_91	Psychophysical visual disturbances	EFO_0003765	D012816
Phe_369	Infection of the eye	EFO_0003966	D005128
Phe_369	Infection of the eye	MONDO_0043885	D015817
Phe_369_2	Eye infection, viral	MONDO_0020950	D015828
Phe_369_5	Conjunctivitis, infectious	EFO_0009450	D003231
Phe_370	Keratitis	EFO_0009449	D007634
Phe_370_1	Corneal ulcer	EFO_0003966	D005128
Phe_370_1	Corneal ulcer	MONDO_0004577	D003320
Phe_370_2	Superficial keratitis	EFO_1000880	D016510
Phe_370_3	Keratoconjunctivitis	MONDO_0004768	D007637
Phe_370_31	Keratoconjunctivitis sicca	HP_0001097	
Phe_371	Inflammation of the eye	EFO_0005752	
Phe_371_1	Uveitis, noninfectious or NOS	EFO_1001231	D014605
Phe_371_2	Conjunctivitis, noninfectious	EFO_0009450	D003231
Phe_371_21	Allergic conjunctivitis	EFO_0007141	D003233
Phe_371_21	Allergic conjunctivitis	EFO_0009450	D003231
Phe_371_3	Inflammation of eyelids	EFO_0009536	D001762
Phe_372	Disorders of conjunctiva	EFO_1000203	
Phe_374	Other disorders of eyelids	EFO_0009547	D005141
Phe_374_1	Ectropion or entropion	MONDO_0001519;MONDO_0002043	D004774;D004483
Phe_374_2	Lagophthalmos	MONDO_0001604	
Phe_374_3	Ptosis of eyelid	MONDO_0000728	D001763
Phe_374_6	Dermatochalasis	HP_0010750	
Phe_375	Disorders of lacrimal system	EFO_0009455	D007766
Phe_375	Disorders of lacrimal system	EFO_1000906	D015352
Phe_375_1	Dry eyes	EFO_1000906	D015352
Phe_375_2	Epiphora	HP_0009926	
Phe_377	Disorders of optic nerve and visual pathways	MONDO_0001834;MONDO_0002135	D009901
Phe_377_1	Optic atrophy	MONDO_0003608	D009896
Phe_377_3	Optic neuritis/neuropathy	EFO_0004149;EFO_0007405	D009902
Phe_377_3	Optic neuritis/neuropathy	EFO_0007405	D009902
Phe_378	Strabismus and other disorders of binocular eye movements	HP_0000486	D013285
Phe_378_1	Strabismus (not specified as paralytic)	HP_0000486	D013285
Phe_378_5	Paralytic strabismus	EFO_0009678	
Phe_379	Other disorders of eye	EFO_0003966	D005128
Phe_379_2	Disorders of vitreous body	EFO_0008624	
Phe_379_3	Aphakia and other disorders of lens	EFO_0009674	D007905
Phe_379_4	Anomalies of pupillary function	HP_0007686	
Phe_379_5	Disorders of iris and ciliary body	EFO_0003900;MONDO_0002289	D002925;D007499
Phe_379_9	Pain, swelling or discharge of eye	EFO_0010679	
Phe_380	Disorders of external ear	EFO_0009668	
Phe_380_1	Otitis externa	EFO_0009560	D010032
Phe_380_4	Impacted cerumen	EFO_1001455	D004427
Phe_381	Otitis media and Eustachian tube disorders	EFO_0004992;EFO_0009667	D010033
Phe_381_1	Otitis media	EFO_0004992	D010033
Phe_381_11	Suppurative and unspecified otitis media	EFO_0004992	D010033
Phe_381_11	Suppurative and unspecified otitis media	EFO_0007503	D010035
Phe_381_2	Eustachian tube disorders	EFO_0009667	
Phe_382	Otalgia	HP_0030766	D004433
Phe_384	Other disorders of tympanic membrane	EFO_0009570	
Phe_384_4	Perforation of tympanic membrane	EFO_0009472	
Phe_385	Other disorders of middle ear and mastoid	EFO_1001455	D004427
Phe_386	Vertiginous syndromes and other disorders of vestibular system	EFO_0009691	D015837
Phe_386_1	Meniere's disease	EFO_0006862	D008575
Phe_386_2	Peripheral or central vertigo	MONDO_0002317;MONDO_0004900	
Phe_386_21	Central origin vertigo	HP_0002321	D014717
Phe_386_9	Dizziness and giddiness (Light-headedness and vertigo)	EFO_0009847	
Phe_386_9	Dizziness and giddiness (Light-headedness and vertigo)	HP_0002321	D014717
Phe_388	Other disorders of ear	MONDO_0021205	
Phe_389	Hearing loss	EFO_0004238	D034381
Phe_389	Hearing loss	EFO_0005782	D011304
Phe_389	Hearing loss	EFO_1001176	D006313
Phe_389_1	Sensorineural hearing loss	EFO_1001176	D006313
Phe_389_1	Sensorineural hearing loss	HP_0000407	D006319
Phe_389_2	Conductive hearing loss	HP_0000405	D006314
Phe_389_4	Tinnitus	HP_0000360	D014012
Phe_394	Rheumatic disease of the heart valves	EFO_0009531	
Phe_394	Rheumatic disease of the heart valves	EFO_1001161	D012214
Phe_394_1	Mitral valve stenosis and aortic valve stenosis	MONDO_0042981	D001024
Phe_394_7	Disease of tricuspid valve	EFO_0009568	
Phe_395	Heart valve disorders	EFO_0009551	D006349
Phe_395_1	Nonrheumatic mitral valve disorders	EFO_0009557	
Phe_395_2	Nonrheumatic aortic valve disorders	EFO_0009531	
Phe_395_3	Nonrheumatic tricuspid valve disorders	EFO_0009568	
Phe_395_6	Heart valve replaced	EFO_0003906	D006350
Phe_396	Abnormal heart sounds	EFO_0010670	
Phe_401	Hypertension	EFO_0000537	D006973
Phe_401_1	Essential hypertension	EFO_0000537	D006973
Phe_401_1	Essential hypertension	MONDO_0001134	D000075222
Phe_401_2	Hypertensive heart and/or renal disease	EFO_0003086;MONDO_0001302	D007674
Phe_401_21	Hypertensive heart disease	MONDO_0001302	
Phe_401_22	Hypertensive chronic kidney disease	EFO_0003884	D051436
Phe_401_3	Other hypertensive complications	EFO_0000537;EFO_0009518	D006973
Phe_402	Elevated blood pressure reading without diagnosis of hypertension	EFO_0006943	
Phe_411_1	Unstable angina (intermediate coronary syndrome)	EFO_0003913	D060050
Phe_411_1	Unstable angina (intermediate coronary syndrome)	EFO_1000985	D000789
Phe_411_2	Myocardial infarction	EFO_0000612	D009203
Phe_411_2	Myocardial infarction	EFO_0008583	
Phe_411_3	Angina pectoris	EFO_0003913	D060050
Phe_411_4	Coronary atherosclerosis	MONDO_0021661	
Phe_411_8	Other chronic ischemic heart disease, unspecified	EFO_0003777	D006331
Phe_411_9	Other acute and subacute forms of ischemic heart disease	EFO_1001375	D017202
Phe_414	Other forms of chronic heart disease	EFO_0000319	D002318
Phe_414	Other forms of chronic heart disease	EFO_1001375	D017202
Phe_414_2	ASCVD	EFO_0000319	D002318
Phe_415	Pulmonary heart disease	EFO_0003777	D006331
Phe_415	Pulmonary heart disease	MONDO_0004596	D011660
Phe_415_1	Acute pulmonary heart disease	EFO_0003777	D006331
Phe_415_11	Pulmonary embolism and infarction, acute	EFO_0003827;EFO_1001408	D011655;D054060
Phe_415_2	Chronic pulmonary heart disease	MONDO_0001493	
Phe_415_21	Primary pulmonary hypertension	MONDO_0001999	
Phe_416	Cardiomegaly	EFO_0002503	D006332
Phe_418	Nonspecific chest pain	HP_0100749	D002637
Phe_418_1	Precordial pain	HP_0032141	
Phe_420	Carditis	MONDO_0024636	
Phe_420_2	Pericarditis	EFO_0007427	D010493
Phe_420_21	Acute pericarditis	EFO_0007427	D010493
Phe_420_3	Endocarditis	EFO_0000465	D004696
Phe_425	Cardiomyopathy	EFO_0000318	D009202
Phe_425_1	Primary/intrinsic cardiomyopathies	EFO_0000318	D009202
Phe_425_11	Hypertrophic obstructive cardiomyopathy	EFO_0000538	D002312
Phe_425_12	Other hypertrophic cardiomyopathy	EFO_0000538	D002312
Phe_425_2	Secondary/extrinsic cardiomyopathies	EFO_0000318	D009202
Phe_425_8	Other cardiomyopathy	EFO_0000318	D009202
Phe_426	Cardiac conduction disorders	MONDO_0000992	
Phe_426_2	Atrioventricular [AV] block	MONDO_0000465	D054537
Phe_426_21	First degree AV block	HP_0011705	
Phe_426_23	Second degree AV block	HP_0011706	
Phe_426_24	Atrioventricular block, complete	MONDO_0000465	D054537
Phe_426_24	Atrioventricular block, complete	MONDO_0000468	
Phe_426_25	Other heart block	EFO_0005137	
Phe_426_3	Bundle branch block	EFO_0004138	D002037
Phe_426_31	Right bundle branch block	HP_0011712	
Phe_426_32	Left bundle branch block	HP_0011713	
Phe_426_7	Abnormal electrocardiogram [ECG] [EKG]	EFO_0004327	D004562
Phe_426_8	Other cardiac conduction disorders	MONDO_0000992	
Phe_426_9	Cardiac pacemaker/device in situ	EFO_0009719	
Phe_426_91	Cardiac pacemaker in situ	EFO_0009719	
Phe_426_92	Cardiac defibrillator in situ	EFO_0010674	D017147
Phe_427	Cardiac dysrhythmias	EFO_0004269	D001145
Phe_427_1	Paroxysmal tachycardia, unspecified	EFO_0009493	D013614
Phe_427_11	Paroxysmal supraventricular tachycardia	HP_0004763	
Phe_427_12	Paroxysmal ventricular tachycardia	HP_0004751	
Phe_427_2	Atrial fibrillation and flutter	EFO_0000275	D001281
Phe_427_21	Atrial fibrillation	EFO_0000275	D001281
Phe_427_22	Atrial flutter	EFO_0003911	D001282
Phe_427_3	Other specified cardiac dysrhythmias	EFO_0004269	D001145
Phe_427_4	Cardiac arrest and ventricular	EFO_0009492	D006323
Phe_427_41	Ventricular fibrillation and flutter	EFO_0004287	D014693
Phe_427_42	Cardiac arrest	EFO_0009492	D006323
Phe_427_5	Arrhythmia (cardiac) NOS	EFO_0004269	D001145
Phe_427_6	Premature beats	EFO_0009275	
Phe_427_6	Premature beats	HP_0006699	D018880
Phe_427_61	Supraventricular premature beats	EFO_0009277	
Phe_427_7	Tachycardia NOS	HP_0001649	
Phe_427_8	Sinoatrial node dysfunction (Bradycardia)	HP_0001662	D001919
Phe_427_8	Sinoatrial node dysfunction (Bradycardia)	MONDO_0000469	
Phe_427_9	Palpitations	HP_0001962	
Phe_428	Congestive heart failure; nonhypertensive	EFO_0000373	
Phe_428_1	Congestive heart failure (CHF) NOS	EFO_0000373	
Phe_428_2	Heart failure NOS	EFO_0003144	D006333
Phe_428_3	Heart failure with reduced EF [Systolic or combined heart failure]	EFO_1001207	D054143
Phe_428_4	Heart failure with preserved EF [Diastolic heart failure]	EFO_1000899	D054144
Phe_429	Ill-defined descriptions and complications of heart disease	EFO_0000319	D002318
Phe_429_1	Heart transplant/surgery	EFO_0010673	D016027
Phe_429_2	Abnormal function study of cardiovascular system	HP_0001626	D018376
Phe_429_2	Abnormal function study of cardiovascular system	HP_0011025	
Phe_429_3	Symptoms involving cardiovascular system	EFO_0000319	D002318
Phe_429_3	Symptoms involving cardiovascular system	EFO_0004269	D001145
Phe_430	Intracranial hemorrhage	EFO_0000551	D020300
Phe_430_1	Subarachnoid hemorrhage	EFO_0000713	D013345
Phe_430_2	Intracerebral hemorrhage	EFO_0005669	D002543
Phe_430_3	Subdural hemorrhage	HP_0100309	D006408
Phe_433	Cerebrovascular disease	EFO_0003763	D002561
Phe_433_1	Occlusion and stenosis of precerebral arteries	EFO_0009677	
Phe_433_11	Occlusion of cerebral arteries, with cerebral infarction	EFO_0000712;EFO_0009677	D020521
Phe_433_12	Cerebral atherosclerosis	EFO_1000860	D002537
Phe_433_2	Occlusion of cerebral arteries	EFO_0004277	D020520
Phe_433_2	Occlusion of cerebral arteries	EFO_1000859	D002539
Phe_433_21	Cerebral artery occlusion, with cerebral infarction	EFO_0000712;EFO_0009677	D020521
Phe_433_21	Cerebral artery occlusion, with cerebral infarction	MONDO_0000944	
Phe_433_3	Cerebral ischemia	HP_0002637	
Phe_433_31	Transient cerebral ischemia	EFO_0003764	D002546
Phe_433_5	Cerebral aneurysm	EFO_0003870	D002532
Phe_433_6	Acute, but ill-defined cerebrovascular disease	EFO_0003763	D002561
Phe_433_8	Late effects of cerebrovascular disease	EFO_0003763;EFO_0003765	D002561;D012816
Phe_440	Atherosclerosis	EFO_0003914	D050197
Phe_440_2	Atherosclerosis of the extremities	EFO_0003914	D050197
Phe_440_21	Atherosclerosis of native arteries of the extremities with ulceration or gangrene	EFO_0003914	D050197
Phe_440_22	Atherosclerosis of native arteries of the extremities with intermittent claudication	EFO_0003914	D050197
Phe_440_9	Atherosclerosis of aorta	MONDO_0000980	
Phe_441	Vascular insufficiency of intestine	MONDO_0004622	
Phe_442	Other aneurysm	EFO_0009659	
Phe_442_1	Aortic aneurysm	EFO_0001666	D001014
Phe_442_11	Abdominal aortic aneurysm	EFO_0004214	D017544
Phe_442_2	Aneurysm of iliac artery	EFO_0009659	
Phe_442_8	Aneurysm of other specified artery	EFO_0001666	D001014
Phe_442_8	Aneurysm of other specified artery	EFO_0009659	
Phe_443	Peripheral vascular disease	EFO_0003875	D016491
Phe_443	Peripheral vascular disease	EFO_0004264	D014652
Phe_443_1	Raynaud's syndrome	EFO_1001145	D011928
Phe_443_8	Other specified peripheral vascular disease	EFO_0003875	D016491
Phe_443_9	Peripheral vascular disease, unspecified	EFO_0003875	D016491
Phe_444	Arterial embolism and thrombosis	HP_0001907	D016769
Phe_444_1	Arterial embolism and thrombosis of lower extremity artery	EFO_0010671	
Phe_446	Polyarteritis nodosa and allied conditions	EFO_0009012	D010488
Phe_447	Other disorders of arteries and arterioles	EFO_0004264	D014652
Phe_447_1	Stricture of artery	EFO_0006818	
Phe_447_7	Aortic ectasia	EFO_0005775	D001018
Phe_450	Noninfectious disorders of lymphatic channels	EFO_0007352	D008206
Phe_451	Phlebitis and thrombophlebitis	EFO_0003907	
Phe_451	Phlebitis and thrombophlebitis	EFO_1001395;HP_0004418	D010689;D013924
Phe_451_2	Phlebitis and thrombophlebitis of lower extremities	EFO_1001395	D010689
Phe_451_2	Phlebitis and thrombophlebitis of lower extremities	EFO_1001395;HP_0004418	D010689;D013924
Phe_452	Other venous embolism and thrombosis	HP_0001907	D016769
Phe_452	Other venous embolism and thrombosis	HP_0030242	
Phe_452_2	Deep vein thrombosis [DVT]	EFO_0003907	
Phe_453	Chronic venous hypertension	EFO_0010675	
Phe_454	Varicose veins	HP_0002619	D014648
Phe_454_1	Varicose veins of lower extremity	HP_0002619	D014648
Phe_454_11	Varicose veins of lower extremity, symptomtic	HP_0002619	D014648
Phe_455	Hemorrhoids	EFO_0009552	D006484
Phe_456	Chronic venous insufficiency [CVI]	EFO_0007940	
Phe_458	Hypotension	EFO_0005251	D007022
Phe_458_1	Orthostatic hypotension	EFO_0005252	
Phe_458_2	Iatrogenic hypotension	EFO_0005251	D007022
Phe_458_9	Hypotension NOS	EFO_0005251	D007022
Phe_459	Other disorders of circulatory system	EFO_0000319	D002318
Phe_459_7	Blood vessel replaced	EFO_0010672	
Phe_459_9	Circulatory disease NEC	EFO_0000319	D002318
Phe_464	Acute sinusitis	EFO_0007486	D012852
Phe_465	Acute upper respiratory infections of multiple or unspecified sites	EFO_0007214	D003139
Phe_465	Acute upper respiratory infections of multiple or unspecified sites	MONDO_0024355	D012141
Phe_465_2	Acute pharyngitis	EFO_0009657	
Phe_465_4	Acute laryngitis and tracheitis	MONDO_0024355	D012141
Phe_470	Septal Deviations/Turbinate Hypertrophy	EFO_0002460	D006984
Phe_471	Nasal polyps	EFO_1000391	D009298
Phe_471	Nasal polyps	HP_0100582	D009298
Phe_472	Chronic pharyngitis and nasopharyngitis	MONDO_0002258	D010612
Phe_473	Diseases of the larynx and vocal cords	EFO_0009673	D007818
Phe_473_1	Chronic laryngitis	MONDO_0001369	
Phe_473_3	Paralysis/spasm of vocal cords or larynx	EFO_0009673	D007818
Phe_473_4	Voice disturbance	EFO_0009692	D014832
Phe_474	Acute and chronic tonsillitis	EFO_0007429	D000039
Phe_474	Acute and chronic tonsillitis	MONDO_0001039	D014069
Phe_474_1	Acute tonsillitis	MONDO_0020686	
Phe_474_2	Chronic tonsillitis and adenoiditis	MONDO_0004867	
Phe_475	Chronic sinusitis	EFO_0007486	D012852
Phe_475	Chronic sinusitis	EFO_1000024	
Phe_475_9	Postnasal drip	EFO_0007486	D012852
Phe_476	Allergic rhinitis	EFO_0003956	D006255
Phe_476	Allergic rhinitis	EFO_0005854	
Phe_477	Epistaxis or throat hemorrhage	EFO_0003895	D004844
Phe_477	Epistaxis or throat hemorrhage	EFO_0003895;EFO_0009479	D004844
Phe_478	Throat pain	EFO_0003843	D010146
Phe_479	Other upper respiratory disease	EFO_0000684	D012140
Phe_479	Other upper respiratory disease	MONDO_0004867	
Phe_480	Pneumonia	EFO_0003106	D011014
Phe_480	Pneumonia	EFO_0008410	
Phe_480_1	Bacterial pneumonia	EFO_0009117	D014438
Phe_480_1	Bacterial pneumonia	EFO_1001272	D018410
Phe_480_11	Pneumococcal pneumonia	EFO_0000772	D011008
Phe_480_11	Pneumococcal pneumonia	EFO_1001474	D011018
Phe_480_2	Viral pneumonia	EFO_0007541	D011024
Phe_480_3	Pneumonia due to fungus (mycoses)	EFO_0003106;EFO_0007278	D011014;D008172
Phe_480_5	Bronchopneumonia and lung abscess	EFO_0007184;EFO_1001362	D001996;D008169
Phe_481	Influenza	EFO_0007328	D009976
Phe_483	Acute bronchitis and bronchiolitis	EFO_0009661;MONDO_0002465	D001991;D001988
Phe_483	Acute bronchitis and bronchiolitis	HP_0012388	
Phe_495	Asthma	MONDO_0004979	D001249
Phe_495_1	Chronic obstructive asthma	EFO_0009759	
Phe_495_11	Chronic obstructive asthma with exacerbation	MONDO_0004979	D001249
Phe_495_2	Asthma with exacerbation	MONDO_0004979	D001249
Phe_496	Chronic airway obstruction	EFO_0000341	D029424
Phe_496	Chronic airway obstruction	HP_0006536	D008173
Phe_496_1	Emphysema	EFO_0000464	D011656
Phe_496_2	Chronic bronchitis	EFO_0006505	D029481
Phe_496_21	Obstructive chronic bronchitis	EFO_0000341	D029424
Phe_496_21	Obstructive chronic bronchitis	EFO_0006505	D029481
Phe_496_3	Bronchiectasis	MONDO_0004822	D001987
Phe_497	Bronchitis	EFO_0009661	D001991
Phe_497	Bronchitis	EFO_1002018	D001982
Phe_498	Acute bronchospasm	EFO_1002018	D001982
Phe_500	Lung disease due to external agents	EFO_0000684	D012140
Phe_500_2	Pneumoconiosis	MONDO_0015926	D011009
Phe_501	Pneumonitis due to inhalation of food or vomitus	EFO_1001991	
Phe_502	Postinflammatory pulmonary fibrosis	EFO_0009448	D011658
Phe_502	Postinflammatory pulmonary fibrosis	MONDO_0001438	
Phe_503	Pulmonary congestion and hypostasis	EFO_0009866	
Phe_504	Other alveolar and parietoalveolar pneumonopathy	EFO_0000684	D012140
Phe_504_1	Idiopathic fibrosing alveolitis	EFO_0000768	D054990
Phe_505	Other pulmonary inflamation or edema	EFO_1001134	D011654
Phe_506	Empyema and pneumothorax	EFO_0009680	D016724
Phe_506	Empyema and pneumothorax	EFO_0009680;MONDO_0002076	D016724;D011030
Phe_507	Pleurisy; pleural effusion	EFO_0009637	
Phe_508	Pulmonary collapse; interstitial and compensatory emphysema	EFO_0000464	D011656
Phe_509	Respiratory failure, insufficiency, arrest	EFO_0009686	D012131
Phe_509_1	Respiratory failure	EFO_0009686	D012131
Phe_509_2	Respiratory insufficiency	HP_0002093	
Phe_509_3	Pulmonary insufficiency or respiratory failure following trauma and surgery	EFO_0009686	D012131
